Feature,Importance
trend_30_90,7274
lag_728,7129
lag_364,7083
trend_182_364,7081
trend_90_365,6152
roll_std_30,6000
day_of_year,5965
ewm_0_5_364,5889
day,5807
lag_119,5758
lag_98,5736
lag_126,5695
lag_105,5655
day_of_week,5647
lag_112,5595
lag_546,5508
store_item_mean,5268
roll_std_60,4735
roll_mean_365,4529
roll_std_90,4482
roll_mean_546,4321
ewm_0_5_91,4212
store_item_std,4135
ewm_0_5_182,4036
ewm_0_7_364,4008
roll_std_180,3895
ewm_0_95_364,3882
roll_mean_30,3595
item,3362
ewm_0_7_91,3323
roll_mean_60,3150
ewm_0_95_91,3145
ewm_0_8_364,3129
ewm_0_95_182,3070
ewm_0_7_182,3031
month_cos,2971
roll_std_546,2920
ewm_0_8_91,2917
roll_std_365,2877
ewm_0_8_182,2762
ewm_0_9_364,2760
roll_mean_180,2758
item_mean,2734
week_of_year,2692
ewm_0_9_91,2677
roll_mean_90,2659
lag_182,2644
lag_91,2578
month,2572
ewm_0_9_182,2507
store,2086
month_sin,2025
dow_sin,1780
store_mean,1700
dow_cos,1263
is_weekend,249
is_month_end,162
quarter,35
is_month_start,24
